"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1816059664897106295","Wed Jul 24 13:01:54 +0000 2024","0","@haaann66 byon combat 4 udah yang menang dapet lana + sabtu pramuka","1816096468559880680","","haaann66","in","Aurhel Alana🌙","0","0","0","https://x.com/nugrahaalvinn/status/1816096468559880680","1572195523372912640","nugrahaalvinn"
"1815790396229960012","Wed Jul 24 03:17:52 +0000 2024","1","@koj1harunyan Doi @SNayla_JKT48 lagi latihan tinju mau ikut di Byon Combat Showbiz vol 4 nanti.","1815949494414107010","","koj1harunyan","in","Indonesia - Balikpapan","0","0","0","https://x.com/_AldiFahreza/status/1815949494414107010","256522401","_AldiFahreza"
"1815385018577121728","Mon Jul 22 15:45:05 +0000 2024","0","@noelnowa jadi jul ayo byon combat 4 ya","1815412760643260691","","noelnowa","in","Coba cek,Dihati kamu","0","1","0","https://x.com/24x_piece/status/1815412760643260691","3130478497","24x_piece"
"1814856168663363894","Sun Jul 21 05:46:52 +0000 2024","0","@parellzz otw byon combat 4","1814899826150285540","","parellzz","in","","0","0","0","https://x.com/RnztPrmdn/status/1814899826150285540","1583679708469686272","RnztPrmdn"
"1814209710616465758","Fri Jul 19 10:16:10 +0000 2024","0","@neiljustiin lana yang liat post ini : ih sumpah ayo byon combat 4 aja sini","1814242822301852037","","neiljustiin","in","Aurhel Alana🌙","0","1","0","https://x.com/nugrahaalvinn/status/1814242822301852037","1572195523372912640","nugrahaalvinn"
"1813979460477370753","Fri Jul 19 01:15:46 +0000 2024","0","@ayasasaib @5teV3n_Pe9eL Byon combat 4 boleh ","1814106827996721474","","ayasasaib","in","Surabaya, East Java","0","0","0","https://x.com/hutomonr/status/1814106827996721474","498729870","hutomonr"
"1813137386555207763","Tue Jul 16 09:03:34 +0000 2024","4","igku distalk pacar dari tmn tmn ceweku wkwkwkwkwkw persiapan byon combat kh ini","1813137386555207763","","","in","","0","0","0","https://x.com/p4r4n01d4n0n/status/1813137386555207763","1171763038543728640","p4r4n01d4n0n"
"1811261222488293474","Thu Jul 11 04:48:21 +0000 2024","0","Dari kuda kuda sama cover nya udah bisa sih ikut byon combat 4.","1811261222488293474","","","in","","0","0","0","https://x.com/txtdarialwy/status/1811261222488293474","1226479341183197184","txtdarialwy"
"1810903131305431192","Wed Jul 10 05:22:16 +0000 2024","0","@hell0allen byon combat 4 di persilahkan","1810907369481945452","","wisyanggeni","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/navygris/status/1810907369481945452","1618478704832970752","navygris"
"1810584898232877233","Wed Jul 10 03:55:26 +0000 2024","0","@feedemady siap Byon combat Vol 4 lawan Cellos","1810885515799056793","","feedemady","in","East Borneo, Indonesia","0","0","0","https://x.com/akupunyamuu/status/1810885515799056793","1211234359417532416","akupunyamuu"
"1809205748716757271","Sun Jul 07 13:55:00 +0000 2024","0","@urbbaeyy @amyxluv Langsung byon combat vol. 4 aja ayo bang nero","1809949239868608898","","urbbaeyy","in","","0","1","0","https://x.com/alexandrekoxy6/status/1809949239868608898","1807974886897602561","alexandrekoxy6"
"1809834933961289804","Sun Jul 07 06:26:30 +0000 2024","0","@nininminaj Byon combat 4 menunggumu","1809836371538002168","","berrymanukaamer","in","","0","0","0","https://x.com/onionringsxxx/status/1809836371538002168","1394482490933276676","onionringsxxx"
"1809284518697922789","Fri Jul 05 17:53:38 +0000 2024","0","kroos menuju byon combat vol 4","1809284518697922789","","","in","Barcelona, Spain","0","0","0","https://x.com/tupailari66/status/1809284518697922789","1186840655072358400","tupailari66"
"1808112534668681323","Tue Jul 02 12:22:30 +0000 2024","1","@idextratime Ajak tinju sama lu ti di hss/byon combat 4","1808114021146808572","","idextratime","in","","0","0","0","https://x.com/HakimJidan/status/1808114021146808572","1482370736983797762","HakimJidan"
"1807642777263698145","Mon Jul 01 11:11:29 +0000 2024","0","@kemgelapan gasss byon combat 4 rame nihh wkkwkww","1807733761309909192","","kemgelapan","in","Jakarta, Indonesia","0","0","0","https://x.com/Gacormso303/status/1807733761309909192","1800442416182468608","Gacormso303"
"1807437826038038924","Sun Jun 30 15:35:32 +0000 2024","1","Nonton Captain Tsubasa Season 2: Junior Youth-hen Episode 37 Captain Tsubasa setelah nonton BYON Combat Showbiz vol 3 beralih latihan tinju buat vol 4 https://t.co/1gjhosPu7Q","1807437826038038924","https://pbs.twimg.com/media/GRVPH7raUAApp6N.jpg","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/galant_os/status/1807437826038038924","114467239","galant_os"
"1806612034823549133","Fri Jun 28 13:58:24 +0000 2024","0","@Alfanmasfit kamu dimana aku habis ngelatih @izzyfwd biar biasa lawan efren reyes tapi di byon combat 4","1806688603952853273","","Alfanmasfit","in","Kota Manado, Sulawesi Utara","0","0","0","https://x.com/simbah_9/status/1806688603952853273","1158361014573789190","simbah_9"
"1806652022592356462","Fri Jun 28 11:33:02 +0000 2024","1","Kontol bapak kau pecah nyalah nyalahkan orang lain ayok langsung aja byon combat 4. Bang cellos siapkan kontraknya ️","1806652022592356462","","","in","","0","2","0","https://x.com/txtdarialwy/status/1806652022592356462","1226479341183197184","txtdarialwy"
"1806305132940009866","Thu Jun 27 12:34:37 +0000 2024","0","Emak gue daftarin byon combat 4 kali ya lawan babayo","1806305132940009866","","","in","Unknown","0","0","0","https://x.com/xtramadolx/status/1806305132940009866","154115554","xtramadolx"
"1806178909781889166","Thu Jun 27 05:56:49 +0000 2024","0","@tirta_cipeng Yo sing dispill dinggo pemula noooooo nek saranmu kui porsi olahraga persiapan byon combat 4.","1806205020742045960","","tirta_cipeng","in","Papua New Guinea","0","0","0","https://x.com/Muhammadwah23/status/1806205020742045960","1048767853527162882","Muhammadwah23"
